card_id,card_name,issuer,field_name,value,unit,source_url,source_name,source_type,source_tier,retrieved_at,effective_from,effective_to,verification_status,evidence,notes
adcb-365-cashback,ADCB 365 Cashback Credit Card,Abu Dhabi Commercial Bank (ADCB),grocery_cashback_rate,0.03,percentage,https://www.adcb.com/en/personal/cards/credit-cards/365-cashback-card,ADCB official product page,official_product_page,1,2026-09-14T00:00:00Z,2026-01-01,,VERIFIED,Official page lists 3% on groceries and supermarkets.,
adcb-365-cashback,ADCB 365 Cashback Credit Card,Abu Dhabi Commercial Bank (ADCB),dining_cashback_rate,0.06,percentage,https://www.adcb.com/en/personal/cards/credit-cards/365-cashback-card,ADCB official product page,official_product_page,1,2026-09-14T00:00:00Z,2026-01-01,,VERIFIED,Official page lists 6% on dining including online orders.,
adcb-365-cashback,ADCB 365 Cashback Credit Card,Abu Dhabi Commercial Bank (ADCB),fuel_cashback_rate,0.05,percentage,https://www.adcb.com/en/personal/cards/credit-cards/365-cashback-card,ADCB official product page,official_product_page,1,2026-09-14T00:00:00Z,2026-01-01,,VERIFIED,Official page lists 5% on fuel and Salik.,
adcb-365-cashback,ADCB 365 Cashback Credit Card,Abu Dhabi Commercial Bank (ADCB),reward_cap,1000,AED per month,https://www.adcb.com/en/personal/cards/credit-cards/365-cashback-card,ADCB official product page,official_product_page,1,2026-09-14T00:00:00Z,2026-01-01,,VERIFIED,"Official page states a maximum monthly cashback of AED 1,000.",
adcb-365-cashback,ADCB 365 Cashback Credit Card,Abu Dhabi Commercial Bank (ADCB),min_monthly_spend,5000,AED per month,https://www.adcb.com/en/personal/cards/credit-cards/365-cashback-card,ADCB official product page,official_product_page,1,2026-09-14T00:00:00Z,2026-01-01,,VERIFIED,"Minimum retail spend of AED 5,000 per calendar month required to earn.",
adcb-365-cashback,ADCB 365 Cashback Credit Card,Abu Dhabi Commercial Bank (ADCB),annual_fee,383.25,AED,https://www.adcb.com/en/personal/cards/credit-cards/365-cashback-card,ADCB official product page,official_product_page,1,2026-09-14T00:00:00Z,2026-01-01,,VERIFIED,Annual fee including VAT applies from the second year onwards.,
adcb-365-cashback,ADCB 365 Cashback Credit Card,Abu Dhabi Commercial Bank (ADCB),eligibility_min_salary,5000,AED per month,https://www.adcb.com/en/personal/cards/credit-cards/365-cashback-card,ADCB official product page,official_product_page,1,2026-09-14T00:00:00Z,2026-01-01,,VERIFIED,Stated minimum salary requirement on the eligibility section.,
adcb-365-cashback,ADCB 365 Cashback Credit Card,Abu Dhabi Commercial Bank (ADCB),fx_fee,UNKNOWN,percentage,https://www.adcb.com/en/tools-resources/charges-fees/,ADCB schedule of charges,official_fees_page,2,2026-09-14T00:00:00Z,2026-01-01,,UNKNOWN,Product page defers to the schedule of charges; the specific percentage was not established.,
emirates-islamic-cashback-plus,Emirates Islamic Cashback Plus Credit Card,Emirates Islamic,reward_category,"supermarkets, education, dining, telecom",,https://www.emiratesislamic.ae/en/cards/credit-cards/cashback-plus-card,Emirates Islamic official product page,official_product_page,1,2026-09-14T00:00:00Z,,,VERIFIED,"Official page lists up to 10% on those four categories, in the UAE and abroad.",
emirates-islamic-cashback-plus,Emirates Islamic Cashback Plus Credit Card,Emirates Islamic,min_monthly_spend,3000,AED per month,https://www.emiratesislamic.ae/en/terms-and-conditions/cashback-plus-credit-card-tc,Emirates Islamic official terms and conditions,official_terms,2,2026-09-14T00:00:00Z,,,VERIFIED,"Cashback is subject to meeting a minimum monthly expenditure of AED 3,000.",
